iter	Passed	Remaining
662	2504	1273
663	2508	1269
664	2511	1265
665	2515	1261
666	2519	1257
667	2522	1253
668	2526	1250
669	2530	1246
670	2534	1242
671	2537	1238
672	2541	1234
673	2545	1231
674	2548	1227
675	2552	1223
676	2556	1219
677	2559	1215
678	2563	1211
679	2567	1208
680	2571	1204
681	2574	1200
682	2578	1196
683	2582	1192
684	2585	1189
685	2589	1185
686	2593	1181
687	2597	1178
688	2603	1175
689	2608	1171
690	2612	1168
691	2616	1164
692	2620	1161
693	2625	1157
694	2628	1153
695	2631	1149
696	2634	1145
697	2638	1141
698	2641	1137
699	2645	1133
700	2649	1130
701	2652	1126
702	2655	1122
703	2659	1118
704	2662	1114
705	2665	1110
706	2669	1106
707	2673	1102
708	2677	1098
709	2680	1094
710	2683	1090
711	2687	1086
712	2690	1082
713	2693	1078
714	2696	1074
715	2699	1070
716	2702	1066
717	2706	1062
718	2709	1058
719	2712	1054
720	2716	1051
721	2719	1047
722	2722	1043
723	2726	1039
724	2729	1035
725	2732	1031
726	2736	1027
727	2739	1023
728	2742	1019
729	2745	1015
730	2749	1011
731	2754	1008
732	2758	1004
733	2762	1001
734	2766	997
735	2770	993
736	2774	989
737	2777	986
738	2780	982
739	2784	978
740	2787	974
741	2791	970
742	2794	966
743	2797	962
744	2801	958
745	2804	954
746	2807	950
747	2810	946
748	2814	943
749	2817	939
750	2821	935
751	2824	931
752	2827	927
753	2831	923
754	2834	919
755	2837	915
756	2840	911
757	2843	907
758	2846	903
759	2850	900
760	2853	896
761	2856	892
762	2859	888
763	2863	884
764	2866	880
765	2869	876
766	2872	872
767	2875	868
768	2879	864
769	2882	860
770	2885	857
771	2888	853
772	2907	853
773	2915	851
774	2922	848
775	2929	845
776	2936	842
777	2942	839
778	2946	835
779	2949	831
780	2955	828
781	2962	825
782	2965	821
783	2968	817
784	2972	814
785	2975	810
786	2979	806
787	2982	802
788	2986	798
789	2989	794
790	2993	790
791	2996	787
792	2999	783
793	3003	779
794	3006	775
795	3009	771
796	3013	767
797	3016	763
798	3020	759
799	3025	756
800	3028	752
801	3033	748
802	3038	745
803	3043	742
804	3049	738
805	3054	735
806	3058	731
807	3062	727
808	3066	724
809	3070	720
810	3074	716
811	3079	712
812	3083	709
813	3087	705
814	3091	701
815	3095	697
816	3099	694
817	3103	690
818	3107	686
819	3111	683
820	3115	679
821	3119	675
822	3123	671
823	3128	668
824	3132	664
825	3137	660
826	3140	657
827	3145	653
828	3149	649
829	3154	646
830	3158	642
831	3162	638
832	3166	634
833	3182	633
834	3186	629
835	3191	626
836	3197	622
837	3201	618
838	3206	615
839	3210	611
840	3214	607
841	3219	604
842	3222	600
843	3226	596
844	3231	592
845	3234	588
846	3238	584
